TeslaDeaths,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
 , , Date, Country, State, Description, , Tesla driver, Tesla occupant, Other vehicle, Cyclists/ Peds, TSLA+cycl / peds, Model, Autopilot claimed, Reported in NHTSA SGO, Verified Tesla Autopilot Deaths, Excerpt Verifying Tesla Autopilot Deaths
195,2021,12/11/2021, France, -, Crash in public area including 20 injuries,1, -, -, -, 1, 1, -, -, -, -, -
194,2021,12/7/2021, USA, AZ, Vehicular collision,1, 1, -, -, -, 1, -, -, -, -, -
193,2021,12/7/2021, Germany, -," Tesla crashes into trees, flames erupt",1, 1, -, -, -, 1, -, -, -, -, -
192,2021,12/2/2021, China, -, Motorbiker killed by Tesla,1, -, -, 1, -, -, -, -, -, -, -
191,2021,12/1/2021, USA, CA," Collision with pole, battery ignited",1, 1, -, -, -, 1, 3, -, -, -, -
190,2021,11/29/2021, USA, CA, DUI crash with parked car,1, -, -, 1, -, -, -, -, -, -, -
189,2021,11/15/2021, USA, CA, Pedestrian hit at crosswalk,1, -, -, -, -, 1, -, -, -, -, -
188,2021,11/8/2021, USA, AZ, Three car collision,1, -, -, 1, -, -, -, -, -, -, -
187,2021,11/8/2021, USA, OH," Tesla hits fixture, catches fire",1, 1, -, -, -, 1, -, -, -, -, -
186,2021,11/6/2021, USA, NV, DUI crash,1, -, 1, -, -, 1, Y, -, -, -, -
185,2021,11/4/2021, USA, FL, Tesla hits bicyclist before crashing,1, -, -, -, 1, 1, -, -, -, -, -
184,2021,10/28/2021, USA, GA, Multi-collision event on highway,1, -, -, 1, -, -, -, -, -, -, -
183,2021,10/15/2021, USA, AZ, Toyota hits Tesla,1, -, -, 1, -, -, -, -, -, -, -
182,2021,9/17/2021, USA, IA, Three-way car collision,1, -, -, 1, -, -, -, -, -, -, -
181,2021,9/13/2021, USA, FL," Tesla suffers suspension failure, hits tree, and ignites on fire",2, 1, 1, -, -, 2, 3, -, -, -, -
180,2021,9/4/2021, China, -, Tesla hit pedestrian crossing road,1, -, -, -, 1, 1, -, -, -, -, -
179,2021,9/4/2021, USA, FL," Tesla runs stop sign, crashes into house",2, -, 1, -, 1, 2, S, -, -, -, -
178,2021,8/29/2021, USA, NY," Car hits utility pole, ignites",2, 1, 1, -, -, 2, 3, -, -, -, -
177,2021,8/26/2021, Netherlands, -, Tesla hits tree,1, 1, -, -, -, 1, -, -, -, -, -
176,2021,8/25/2021, USA, AZ, Tesla runs a red light and hits another car,3, -, -, 3, -, -, -, -, -, -, -
175,2021,8/17/2021, USA, PA, Tesla crashes into guardrail,1, 1, -, -, -, 1, 3, -, -, -, -
174,2021,7/26/2021, Netherlands, -," Four vehicle collision, Tesla catches fire",1, -, -, , -, -, -, -, -, -, -
173,2021,7/26/2021, USA, NY, Pedestrian hit on shoulder,1, -, -, -, 1, 1, Y, 1, 13781-21, 1, SGO
172,2021,7/23/2021, USA, GA, Tesla Driver loses control and hits median barrier,1, 1, -, -, -, 1, 3, -, -, -, -
171,2021,7/21/2021, USA, GA, Tesla driver hits man on shoulder of highway,1, -, -, -, 1, 1, -, -, -, -, -
170,2021,7/7/2021, USA, CA, Other driver dies in head-on collision,1, -, -, 1, -, -, S, -, -, -, -
169,2021,6/29/2021, USA, CA," Car crashes into Tesla, fire breaks out",2, 1, -, 1, -, 1, -, -, -, -, -
168,2021,6/19/2021, USA, MI," Tesla hits power pole, runs off road, and ignites",2, 1, 1, -, -, 2, -, -, -, -, -
167,2021,6/16/2021, USA, FL," Tesla crashes, driver later dies in hospital",1, 1, -, -, -, 1, -, -, -, -, -
166,2021,6/16/2021, Denmark, -," Driver loses control of car, crashes into tree",1, 1, -, -, -, 1, -, -, -, -, -
165,2021,6/11/2021, USA, WA, Tesla crashes through backyard fence,1, 1, -, -, -, 1, -, -, -, -, -
164,2021,6/11/2021, USA, NY, Driver crashes into senior living facility,1, -, 1, -, -, 1, -, -, -, -, -
163,2021,6/1/2021, USA, WA," Tesla hits concrete barrier, later catches on fire",1, 1, -, -, -, 1, -, -, -, -, -
162,2021,5/26/2021, USA, VA, Tesla involved in multi-car highway accident,4, -, -, 4, -, -, -, -, -, -, -
161,2021,5/15/2021, China, -, Tesla hits police officers and kills one,1, -, -, -, 1, 1, -, -, -, -, -
160,2021,5/7/2021, China, -, Tesla runs into back of truck,1, 1, -, -, -, 1, -, -, -, -, -
159,2021,5/5/2021, USA, CA, Multi-event collision with truck on highway,1, 1, -, -, -, 1, 3, 1, 13781-5609, 1, SGO
158,2021,4/17/2021, USA, TX," Tesla crashes into tree, bursts into fire",2, -, -, -, -, 2, S, 2, -, -, -
157,2021,4/17/2021, China, -, Tesla hits concrete barrier and spontaneously combusts,1, -, 1, -, -, 1, -, -, -, -, -
156,2021,4/16/2021, France, -, Tesla crashes into tree with 5 occupants,2, -, -, -, -, 2, -, -, -, -, -
155,2021,4/14/2021, USA, TX, Head-on collision involving a Tesla,1, 1, -, -, -, 1, -, -, -, -, -
154,2021,4/13/2021, Germany, -," Tesla goes off road, hits a tree, and bursts into flames",1, 1, -, -, -, 1, S, -, -, -, -
153,2021,4/3/2021, USA, PA," Tesla loses control, hits railing and cut in half",2, 1, 1, -, -, 2, -, -, -, -, -
152,2021,4/1/2021, Taiwan, -," Driver hit traffic island, Tesla catches on fire",1, 1, -, -, -, 1, 3, -, -, -, -
151,2021,3/21/2021, UK, -," Pedestrian hit in collision, later dies in hospital weeks later",1, -, -, -, 1, 1, -, -, -, -, -
150,2021,3/20/2021, Belgium, -," Driver runs over curb, loses control and hit pole",1, 1, -, -, -, 1, -, -, -, -, -
149,2021,3/13/2021, UK, -, Tesla crashes into stationary van,1, -, -, 1, -, -, 3, -, -, -, -
148,2021,3/10/2021, USA, CA," Tesla crashes into tree, occupants killed",2, 1, 1, -, -, 1, -, -, -, -, -
147,2021,3/7/2021, USA, OH, 3 car collision near intersection,1, -, -, 1, -, -, -, -, -, -, -
146.1,2021,3/5/2021, UK, -, Tesla hits crashed car,1, -, -, 1, -, -, -, -, -, -, -
146,2021,2/22/2021, USA, CA, High speed crash into telephone poll,1, 1, -, -, -, 1, -, -, -, -, -
145,2021,1/22/2021, USA, AZ," Tesla crashes into tree, occupants killed",2, 1, 1, -, -, 2, -, -, -, -, -
144,2021,1/21/2021, USA, CO," Tesla hits car and car crashes, driver later dies",1, -, -, 1, -, -, -, -, -, -, -
143,2021,1/15/2021, USA, FL," Head-on collision involving a Tesla, other driver dies",1, -, -, 1, -, -, -, -, -, -, -
142,2021,1/10/2021, USA, UT," Car collides with Tesla, both drivers die",2, 1, -, 1, -, -, -, -, -, -, -
141,2020,12/18/2020, Portugal, -, Tesla driver crashes into pole and dies in resulting fire,1, 1, , -, -, 1, -, -, -, -, -
140,2020,12/11/2020, USA, FL," Pedestrians hit and run by Tesla, one died from injuries",1, -, -, -, 1, 1, -, -, -, -, -
139,2020,12/9/2020, South Korea, -," Car goes out of control and crashes into a wall, ignites",1, -, 1, -, -, 1, X, 1, -, -, -
138,2020,12/4/2020, USA, CA," Car loses control, goes airborne, hits telephone pole",1, -, 1, -, -, 1, -, -, -, -, -
137,2020,11/16/2020, USA, MO, Five-vehicle pileup involving truck,1, -, -, 1, -, -, Y, -, -, -, -
136,2020,10/31/2020, USA, CA," Car hit by a Tesla, driver later died from injuries",1, -, -, 1, -, -, Y, -, -, -, -
135,2020,10/10/2020, USA, CA, Motorcyclist died after rear-ending a Tesla,1, -, -, 1, -, -, Y, -, -, -, -
134,2020,10/7/2020, Belgium, -," Driver going wrong direction hits Tesla, driver later dies",1, -, -, 1, -, -, 3, , -, -, -
133,2020,9/17/2020, USA, GA," Car loses control, hits bus shelter",1, -, -, , 1, 1, 3, 1, 13781-3847, 1, SGO
132,2020,9/12/2020, USA, CA," Car lands on Tesla, other vehicle driver dies",1, -, -, 1, -, -, -, -, -, -, -
131,2020,9/6/2020, USA, IL," Tesla runs thru red light, crashes, driver dies at scene",1, 1, -, -, -, 1, -, -, -, -, -
130,2020,9/5/2020, China, -," Tesla crashes into crowd, 2 dead and several injured",2, -, -, -, 2, 2, X, -, -, -, -
129,2020,8/24/2020, USA, VA," Two car collision at intersection, other driver dies afterwards",1, -, -, 1, -, -, X, -, -, -, -
128,2020,8/13/2020, Germany, -, Tesla crashes into tree,1, 1, -, -, -, 1, X, 1, -, -, -
127,2020,8/12/2020, USA, CA, Tesla hits two cars along exit ramp & catches fire,2, 1, 1, -, -, 1, -, 1, -, -, -
126,2020,8/2/2020, USA, CA," Tesla crashes into tree, ignites, kills driver and passenger",2, 1, 1, -, -, 1, -, -, -, -, -
125,2020,7/18/2020, USA, UT," Tesla races other car, other car crashes",1, -, -, 1, -, -, -, -, -, -, -
124,2020,6/23/2020, USA, GA, Vehicle collides with Tesla at intersection,1, -, -, 1, -, -, -, -, -, -, -
123,2020,6/21/2020, Germany, -," Tesla veers into other lane, crashes into oncoming car",3, -, -, 3, -, -, 3, 1, -, -, -
122,2020,6/17/2020, Canada, -, Motorcyclist killed in crash with Tesla,1, -, -, 1, -, -, -, , -, -, -
121,2020,6/8/2020, Netherlands, -, Driver has heart attack and crashes Tesla,1, 1, -, -, -, 1, 3, -, -, -, -
120,2020,5/25/2020, USA, CA, Tesla goes off cliff and later found,1, 1, -, -, -, 1, -, -, -, -, -
119,2020,5/14/2020, USA, CA, Two-car collision,1, -, -, 1, -, -, 3, 1," 13781-2423 | Currently marked as [Unknown] for ""Automated System Engaged?""", 1, SGO
118,2020,5/5/2020, USA, CA, Drunk driver strikes Tesla,1, -, -, 1, -, -, -, -, -, -, -
117,2020,5/4/2020, Norway, -, Tesla strikes and kills a man standing next to his truck,1, -, -, 1, -, -, S, 1,  missing/unclaimed, 1," ""Undersøkelsen har videre vist at personbilens adaptive cruisekontroll og autostyring var aktivert på ulykkestidspunktet."""
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
116,2020,4/24/2020, Netherlands, -," Tesla runs off road, crashes, catches fire",1, 1, -, -, -, 1, -, -, -, -, -
115,2020,4/3/2020, Taiwan, -, Tesla rolls over and catches on fire,1, 1, -, -, -, 1, 3, -, -, -, -
114,2020,4/1/2020, USA, OH, Tesla drive off road into tree,1, 1, -, -, -, 1, 3, -, -, -, -
113,2020,3/8/2020, USA, GA, Motorcyclist rear ends Tesla,1, -, -, 1, -, -, -, -, -, -, -
112,2020,3/4/2020, Netherlands, -, Three car collision,1, -, -, 1, -, -, -, -, -, -, -
111,2020,2/24/2020, USA, CA, Driver dies as Tesla goes down embankment,1, 1, -, -, -, 1, -, -, -, -, -
110,2020,2/24/2020, Canada, -, Tesla drives off cliff,3, 1, 2, -, -, 3, 3, -, -, -, -
109,2020,1/31/2020, USA, FL, Nissan in front of Tesla loses control,1, -, -, 1, -, -, 3, -, -, -, -
108,2020,1/26/2020, USA, NJ, Tesla crashes into car at toll booth,1, -, -, 1, -, -, X, -, -, -, -
107,2020,1/21/2020, Germany, -, Sudden unintended acceleration kills store patron,1, -, -, -, 1, 1, S, -, -, -, -
106,2020,1/19/2020, Taiwan, -," Tesla t-bones sedan, kills pedestrian",1, -, -, -, 1, 1, X, -, -, -, -
105,2020,1/18/2020, USA, CA," Tesla strikes sign, burns",1, 1, -, -, -, 1, S, -, -, -, -
104,2020,1/5/2020, USA, UT," Tesla runs red, strikes car, burns",2, -, -, 2, -, -, -, -, -, -, -
103,2020,1/4/2020, USA, FL, Tesla strikes Mercury,1, -, -, 1, -, -, 3, -, -, -, -
102,2019,12/29/2019, USA, IN, Tesla rear ends parked fire truck,1, -, 1, -, -, 1, 3, 1,  missing/unclaimed, 1," ""The involved subject vehicles were all confirmed to have been engaged in either Autopilot or Traffic Aware Cruise Control during the approach to the crashes."""
101,2019,12/29/2019, USA, CA, Tesla runs red light after exiting freeway,2, -, -, 2, -, -, S, 2,  missing/unclaimed, 2,###############################################################################################################################################################################################################################################################
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
100,2019,12/23/2019, Slovenia, -, Drunk driver strikes Tesla,1, -, -, 1, -, -, S, -, -, -, -
99,2019,12/19/2019, USA, FL, Police SUV strikes Tesla,2, 1, 1, -, -, 2, -, -, -, -, -
98,2019,12/11/2019, USA, CA, Tesla strikes turning Lexus,1, -, -, 1, -, -, X, -, -, -, -
97,2019,12/10/2019, USA, NV, Kia rear ends Tesla,1, -, -, 1, -, -, -, -, -, -, -
96,2019,12/1/2019, USA, TX, Struck Ford veers into Tesla's lane,2, -, -, 2, -, -, -, -, -, -, -
95,2019,11/24/2019, Taiwan, -," Tesla strikes divider, driver falls to death",1, 1, -, -, -, 1, 3, -, -, -, -
94,2019,11/22/2019, USA, CA, Tire strikes Tesla,1, 1, -, -, -, 1, -, -, -, -, -
93,2019,11/21/2019, USA, CA, Tesla kills pedestrian,1, -, -, -, 1, 1, S, -, -, -, -
92,2019,11/20/2019, Austria, -, Tesla strikes impact attenuator,1, 1, -, -, -, 1, 3, -, -, -, -
91,2019,11/20/2019, USA, FL, Tesla turns into oncoming traffic,1, 1, -, -, -, 1, 3, -, -, -, -
90,2019,11/20/2019, USA, CA, Tesla in multi vehicle crash,1, -, -, 1, -, -, -, -, -, -, -
89,2019,11/14/2019, Germany, -, Tesla kills pedestrian,1, -, -, -, 1, 1, 3, -, -, -, -
88,2019,11/10/2019, USA, FL, Wrong way driver strikes Tesla,1, -, -, 1, -, -, -, -, -, -, -
87,2019,11/7/2019, USA, CA, Two car collision,1, -, -, 1, -, -, 3, -, -, -, -
86,2019,11/1/2019, Norway, -, Three car collision,1, -, -, -, -, -, S, -, -, -, -
85,2019,10/19/2019, USA, PA," Man thrown from vehicle, struck by Tesla",1, -, -, 1, -, -, X, 1," 13781-1979 | Currently marked as [Unknown] for ""Automated System Engaged?""", 1, SGO
84,2019,10/17/2019, Germany, -, Tesla turns into oncoming motorcyclist,1, -, -, 1, -, -, S, -, -, -, -
83,2019,10/12/2019, USA, CA," Wrong way driver strikes Tesla, Tesla burns",1, -, -, 1, -, -, S, -, -, -, -
82,2019,9/22/2019, USA, NV, Tesla runs red light,1, -, -, 1, -, -, 3, -, -, -, -
81,2019,9/17/2019, USA, FL, Tesla into oncoming traffic,1, 1, -, -, -, 1, -, 1, -, -, -
80,2019,9/11/2019, USA, OH, Subaru strikes Tesla,1, -, -, 1, -, -, S, -, -, -, -
79,2019,9/11/2019, USA, VA, Tesla kills motorcyclist,1, -, -, 1, -, -, S, -, -, -, -
78,2019,9/8/2019, USA, CA, Honda rear ends Tesla,1, -, -, 1, -, -, -, -, -, -, -
77,2019,9/7/2019, USA, PA," Tesla drives through T intersection, into woods",1, -, 1, -, -, 1, 3, -, -, -, -
76,2019,9/1/2019, Germany, -, Tesla into oncoming traffic,2, -, -, 2, -, -, -, -, -, -, -
75,2019,8/24/2019, USA, CA, Tesla rear ends Ford,1, -, -, 1, -, -, 3, 1,  missing/unclaimed, 1,###############################################################################################################################################################################################################################################################
74,2019,8/15/2019, Germany, -, Tesla kills motorcyclist,1, -, -, 1, -, -, S, -, -, -, -
73,2019,8/-/2019, USA, NY, Collision,1, , , , , 1, X, 1, 13781-1785, 1, SGO
72,2019,7/21/2019, USA, DE," Tesla drives into office building, kills occupant",1, -, -, -, 1, 1, 3, -, -, -, -
71,2019,7/21/2019, USA, CA, Tesla kills pedestrian,1, -, -, -, 1, 1, 3, -, -, -, -
70,2019,7/13/2019, USA, CA, Tesla kills pedestrian,1, -, -, -, 1, 1, -, -, -, -, -
69,2019,7/8/2019, USA, IA, Car drifts into Tesla's lane,1, -, -, 1, -, -, S, -, -, -, -
68,2019,6/30/2019, USA, CA, Single car crash near Menifee,1, 1, -, -, -, 1, 3, 1, -, -, -
67,2019,6/7/2019, Ukraine, -, Tesla strikes construction vehicle,1, -, 1, -, -, 1, X, -, -, -, -
66,2019,6/4/2019, USA, CA, Six vehicle crash,1, -, -, 1, -, -, S, -, -, -, -
65,2019,5/31/2019, USA, CA, Tesla rear ends Ford,1, -, -, 1, -, -, -, -, -, -, -
64,2019,4/30/2019, Spain, -, Car drifts into Tesla's lane,1, -, -, 1, -, -, S, -, -, -, -
63,2019,4/25/2019, USA, FL, Tesla kills pedestrian,1, -, -, -, 1, 1, S, 1,  missing/unclaimed, 1," ""Neither he nor Autopilot noticed that the road was ending and the Model S drove past a stop sign and a flashing red light."""
62,2019,4/15/2019, USA, CA, Tesla strikes on-ramp curb,1, -, 1, -, -, 1, -, -, -, -, -
61,2019,3/18/2019, Canada, -," Tesla strikes pole, burns",1, 1, -, -, -, 1, X, -, -, -, -
60,2019,3/10/2019, USA, FL, BMW strikes Tesla,1, -, 1, -, -, 1, 3, -, -, -, -
59,2019,3/1/2019, USA, FL, Autopilot into firetruck,1, 1, -, -, -, 1, 3, 1,  missing/unclaimed, 1," ""The National Transportation Safety Board (NTSB) on Wednesday cited driver errors and Tesla Inc’s Autopilot design as the probable cause of a January 2018 crash of a Model S into a parked fire truck on a highway in California."""
58,2019,2/24/2019, USA, FL," Tesla crashes into tree, burns",1, 1, -, -, -, 1, S, -, -, -, -
57,2019,2/18/2019, USA, CA, Tesla rear ends stopped car,1, 1, -, -, -, 1, S, -, -, -, -
56,2019,1/30/2019, Holland, -, Driver mistakenly believes Autopilot is on,1, -, -, 1, -, -, S, 1, -, -, -
55,2018,12/30/2018, USA, VA," Early morning, single car collision",1, 1, -, -, -, 1, 3, -, -, -, -
54,2018,12/26/2018, USA, NH, Burned in New Ipswich crash,1, -, 1, -, -, 1, X, -, -, -, -
53,2018,11/15/2018, Denmark, -, Tesla into oncoming traffic,1, -, -, 1, -, -, S, -, -, -, -
52,2018,11/10/2018, USA, FL, Tesla kills motorcyclist,1, -, -, 1, -, -, X, -, -, -, -
51,2018,11/9/2018, USA, CA, Tesla crashes into tree,2, -, 2, -, -, 2, S, -, -, -, -
50,2018,10/26/2018, Canada, -, Tesla drives off road,1, -, 1, -, -, 1, S, -, -, -, -
49,2018,9/21/2018, USA, CA, Single car collision in Anaheim on SR-91,1, 1, -, -, -, 1, S, -, -, -, -
48,2018,9/15/2018, Japan, -, Tesla rear ends stopped car,2, -, -, 2, -, -, X, -, -, -, -
47,2018,8/4/2018, Holland, -, Tesla crashes into tree,1, -, 1, -, -, 1, S, -, -, -, -
46,2018,7/24/2018, USA, MO, Concrete falls on Tesla,1, 1, -, -, -, 1, -, -, -, -, -
45,2018,5/20/2018, USA, CA, Tesla drives into pond,1, 1, -, -, -, 1, S, -, -, -, -
44,2018,5/10/2018, Switzerland, -," Tesla drives into median, burns",1, 1, -, -, -, 1, -, -, -, -, -
43,2018,5/8/2018, USA, FL, Two teens trapped in burning Tesla,2, 1, 1, -, -, 2, S, -, -, -, -
42,2018,4/29/2018, Japan, -, Sleeping Tesla driver kills pedestrian,1, -, -, 1, -, -, X, 1,  missing/unclaimed, 1," ""On April 29, 2018, on an expressway near Tokyo, Japan, Tesla Model X vehicle with"
 , , , , , , , , , , , , , , , , 
41,2018,4/28/2018, USA, OH, Ohio prom night crash,1, -, 1, -, -, 1, S, -, -, -, -
40,2018,3/23/2018, USA, CA, Autopilot into highway barrier,1, 1, -, -, -, 1, -, 1,  missing/unclaimed, 1," ""Tesla has said a car that crashed in California last week, killing its driver, was operating on Autopilot."""
39,2018,3/12/2018, China, -, Tesla kills pedestrian,1, -, -, -, 1, 1, -, -, -, -, -
38,2018,3/12/2018, Norway, -, Sudden unintended acceleration into wall,1, 1, -, -, -, 1, -, -, -, -, -
37,2017,11/22/2017, Switzerland, -, Tesla rear ends stopped car,1, -, -, 1, -, -, S, -, -, -, -
36,2017,11/14/2017, Australia, -, Tesla kills cyclist,1, -, -, -, 1, 1, -, -, -, -, -
35,2017,9/24/2017, USA, TN, Tesla drives off road,1, 1, -, -, -, 1, -, -, -, -, -
34,2017,8/13/2017, USA, AZ, Tesla kills motorcyclist,1, -, -, 1, -, -, -, -, -, -, -
33,2017,7/21/2017, USA, AZ, Wrong way driver strikes Tesla,1, -, -, 1, -, -, -, -, -, -, -
32,2017,6/25/2017, USA, CA, Tesla strikes Camry,1, -, -, 1, -, -, -, -, -, -, -
31,2017,6/10/2017, USA, HI, Unclear; see note at right,1, -, -, 1, -, -, S, -, -, -, -
30,2017,5/11/2017, USA, FL, Tesla into oncoming traffic,1, -, -, 1, -, -, -, -, -, -, -
29,2017,4/26/2017, Norway, -, Tesla into oncoming traffic,1, -, -, 1, -, -, -, -, -, -, -
28,2017,3/13/2017, USA, CA, Tesla kills pedestrian,1, -, -, -, 1, 1, -, -, -, -, -
27,2017,1/17/2017, Germany, -, Driver died in pileup,1, 1, -, -, -, 1, -, -, -, -, -
26,2016,12/20/2016, USA, CA, Tesla kills pedestrian,1, -, -, -, 1, 1, X, -, -, -, -
25,2016,11/23/2016, USA, IL, Driver dead in Winnebago County,1, 1, -, -, -, 1, S, -, -, -, -
24,2016,11/3/2016, USA, IN, Indianapolis fire,2, 1, 1, -, -, 2, -, -, -, -, -
23,2016,10/10/2016, USA, NH, Pileup,1, -, -, 1, -, -, S, -, -, -, -
22,2016,10/7/2016, USA, CA, Tesla kills motorcyclist,1, -, -, 1, -, -, -, -, -, -, -
21,2016,9/7/2016, Holland, -, Drove into wooded ravine,1, 1, -, -, -, 1, -, -, -, -, -
20,2016,9/1/2016, USA, FL, Motorcyclist rear ends Tesla,1, -, -, 1, -, -, -, -, -, -, -
19,2016,8/15/2016, USA, CA, Tesla rear ended,1, -, 1, -, -, 1, S, -, -, -, -
18,2016,7/29/2016, USA, FL, Tesla kills pedestrian,1, -, -, -, 1, 1, -, -, -, -, -
17,2016,7/22/2016, USA, CA, Passat strikes Tesla,1, -, -, 1, -, -, S, -, -, -, -
16,2016,6/8/2016, USA, HI, Nissan Altima wrong way into Tesla,1, -, -, 1, -, -, -, -, -, -, -
15,2016,5/7/2016, USA, FL, Autopilot into 18 wheeler,1, 1, -, -, -, 1, -, 1,  missing/unclaimed, 1," ""But Mr. Brown became a victim of an innovation geared precisely to people like him when his Tesla Model S electric sedan collided with a semitrailer truck on a Florida highway in May, making him the first known fatality in a self-driving car."""
14,2016,4/22/2016, USA, CA, Pedestrian killed in pileup,1, -, -, -, 1, 1, S, -, -, -, -
13,2016,4/8/2016, USA, OH, Chevy Cobalt wrong way into Tesla,1, -, -, 1, -, -, -, -, -, -, -
12,2016,1/20/2016, China, -, Autopilot into street sweeper,1, 1, -, -, -, 1, S, 1,  missing/unclaimed, 1," ""Vehicle maker Tesla has confirmed that one of its electric vehicles involved in a fatal crash in northern China two years ago did have its ""Autopilot"" function engaged at the time of the crash, reports China Central Television (CCTV)."""
11,2015,12/28/2015, USA, TX, Sudden unintended acceleration into pool,1, 1, -, -, -, 1, -, -, -, -, -
10,2015,12/22/2015, Canada, -, Struck by dump truck,1, 1, -, -, -, 1, -, -, -, -, -
9,2015,11/18/2015, USA, CA, Tesla kills pedestrian,1, -, -, -, 1, 1, -, -, -, -, -
8,2015,6/22/2015, USA, CA, Tesla drives off cliff,1, 1, -, -, -, 1, -, -, -, -, -
7,2015,1/22/2015, USA, CA, Tesla drives off cliff,1, 1, -, -, -, 1, S, -, -, -, -
6,2014,12/30/2014, USA, CA, Tesla drives off cliff,1, 1, -, -, -, 1, -, -, -, -, -
5,2014,7/14/2014, USA, CA, Tesla kills motorcyclist,1, -, -, 1, -, -, -, -, -, -, -
4,2014,7/4/2014, USA, CA, Thief crashes stolen Tesla,1, 1, -, -, -, 1, -, -, -, -, -
3,2014,7/4/2014, USA, CA, Tesla rear ends stopped car,3, -, -, 3, -, -, -, -, -, -, -
2,2013,11/2/2013, USA, CA, Tesla kills cyclist,1, -, -, -, 1, 1, -, -, -, -, -
1,2013,4/2/2013, USA, CA, Tesla veers into opposite lane,2, -, -, 2, -, -, S, -, -, -, -
 , , , , , , , , , , , , , , , , 
 , , , , , ,116, 38, 12, 33, 25, 81, , 8, 27, 3, 
 , , , , , ,426, 146, 72, 154, 39, 241, , 43, , 41, 
 , , , , , ,542, 184, 84, 187, 64, 322, , 51, 27, 44, 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , 47, 140, 119, 
 , , , , , , , , , , , , ,2024,2023,2022, 
 , , , , , ,3, 3, 6, 5, 16, 11, 21, 51, 47, 76, 
 , , , , , ,2013,2013,2014,2015,2016,2017,2018,2019,2020,2021, 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , ," Note: AutoPilot released Oct 14, 2015", , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , 
